Country,Year,Sales of cigarettes per adult per day,1900,2014
Australia,1920,1.600000023841858,1920,2010
Australia,1921,1.799999952316284,1920,2010
Australia,1923,1.5,1920,2010
Australia,1925,2.799999952316284,1920,2010
Australia,1927,1.700000047683716,1920,2010
Australia,1930,3.700000047683716,1920,2010
Australia,1931,1.200000047683716,1920,2010
Australia,1932,1.100000023841858,1920,2010
Australia,1935,3.599999904632568,1920,2010
Australia,1936,1.299999952316284,1920,2010
Australia,1937,1.399999976158142,1920,2010
Australia,1940,4.900000095367432,1920,2010
Australia,1945,4.599999904632568,1920,2010
Australia,1947,2.200000047683716,1920,2010
Australia,1948,2.700000047683716,1920,2010
Australia,1949,3.099999904632568,1920,2010
Australia,1950,7.300000190734863,1920,2010
Australia,1951,4.099999904632568,1920,2010
Australia,1953,3.900000095367432,1920,2010
Australia,1954,4.5,1920,2010
Australia,1955,8.600000381469727,1920,2010
Australia,1956,5.199999809265137,1920,2010
Australia,1957,8.899999618530273,1920,2010
Australia,1958,5.800000190734863,1920,2010
Australia,1959,6.099999904632568,1920,2010
Australia,1960,9.100000381469728,1920,2010
Australia,1961,9.0,1920,2010
Australia,1962,8.800000190734863,1920,2010
Australia,1963,8.699999809265137,1920,2010
Australia,1967,8.5,1920,2010
Australia,1972,9.199999809265137,1920,2010
Australia,1973,9.399999618530272,1920,2010
Australia,1974,10.0,1920,2010
Australia,1975,9.699999809265137,1920,2010
Australia,1977,9.800000190734863,1920,2010
Australia,1978,9.600000381469728,1920,2010
Australia,1981,9.300000190734863,1920,2010
Australia,1983,8.399999618530273,1920,2010
Australia,1984,8.199999809265137,1920,2010
Australia,1985,8.100000381469727,1920,2010
Australia,1987,7.599999904632568,1920,2010
Australia,1993,6.599999904632568,1920,2010
Australia,1994,6.400000095367432,1920,2010
Australia,1995,6.300000190734863,1920,2010
Australia,1996,5.599999904632568,1920,2010
Australia,1998,5.400000095367432,1920,2010
Australia,1999,5.099999904632568,1920,2010
Australia,2002,4.300000190734863,1920,2010
Australia,2005,4.199999809265137,1920,2010
Australia,2010,4.0,1920,2010
Austria,1923,2.5,1923,2004
Austria,1924,2.900000095367432,1923,2004
Austria,1926,3.099999904632568,1923,2004
Austria,1927,3.299999952316284,1923,2004
Austria,1928,3.400000095367432,1923,2004
Austria,1929,3.5,1923,2004
Austria,1933,3.0,1923,2004
Austria,1937,2.799999952316284,1923,2004
Austria,1938,3.200000047683716,1923,2004
Austria,1939,4.0,1923,2004
Austria,1940,5.0,1923,2004
Austria,1941,5.800000190734863,1923,2004
Austria,1942,5.300000190734863,1923,2004
Austria,1944,4.199999809265137,1923,2004
Austria,1945,1.600000023841858,1923,2004
Austria,1946,1.100000023841858,1923,2004
Austria,1948,2.0,1923,2004
Austria,1952,3.700000047683716,1923,2004
Austria,1953,3.799999952316284,1923,2004
Austria,1956,4.099999904632568,1923,2004
Austria,1957,4.300000190734863,1923,2004
Austria,1958,4.599999904632568,1923,2004
Austria,1959,4.699999809265137,1923,2004
Austria,1960,4.800000190734863,1923,2004
Austria,1962,4.900000095367432,1923,2004
Austria,1963,5.099999904632568,1923,2004
Austria,1964,5.199999809265137,1923,2004
Austria,1965,5.400000095367432,1923,2004
Austria,1967,5.900000095367432,1923,2004
Austria,1968,6.0,1923,2004
Austria,1969,6.199999809265137,1923,2004
Austria,1970,6.5,1923,2004
